title,slug,published,subtitle,canonicalUrl,publishedAt,createdAt,updatedAt,cover_image_url,categories_json,file
"THE AI JOB DISPLACEMENT TIMELINE:
Why Everyone Has It Wrong",the-ai-job-displacement-timeline-why-everyone-has-it-wrong,True,A Data-Driven Analysis of Which Jobs Are Actually At Risk And When,,1772483952497,1772480447589,1772555688567,https://storage.googleapis.com/papyrus_images/35f80a401b064b4630336dd0da97a00007a6cec7e61fff2b18df33655f8b02fa.jpg,"[""ai"",""futureofwork"",""jobs"",""employment"",""automation""]",the-ai-job-displacement-timeline-why-everyone-has-it-wrong.html
"Understanding AI: What It Is, How It Works, and Why It Matters (Part 3)",understanding-ai-what-it-is-how-it-works-and-why-it-matters-part-3,True,,,1770067682785,1770067095772,1770068071662,https://storage.googleapis.com/papyrus_images/4466721924b7d674afbe4e5be8847476e53d43daca5791aef1241567f0bfd0e9.jpg,"[""ai"",""trends"",""regulation"",""privacy""]",understanding-ai-what-it-is-how-it-works-and-why-it-matters-part-3.html
"Understanding AI: What It Is, How It Works, and Why It Matters (Part 2)",understanding-ai-what-it-is-how-it-works-and-why-it-matters-1,True,,,1770067054524,1770066727273,1770068033928,https://storage.googleapis.com/papyrus_images/a1df22e23af59802f0cc7b2af21ae447b1d808f69321db0477d1b4d929ef2fc0.jpg,"[""ai"",""ml"",""tools"",""ecosystem""]",understanding-ai-what-it-is-how-it-works-and-why-it-matters-1.html
Understanding AI vs. Traditional Software: A Comprehensive Guide,understanding-ai-vs-traditional-software-a-comprehensive-guide,True,,,1770066339415,1770065569781,1770066341625,https://storage.googleapis.com/papyrus_images/d04b9f38ba6e1bd68e5d6cd48df70a6065110a23e55663770932b36d88d7cebf.jpg,"[""ai"",""software""]",understanding-ai-vs-traditional-software-a-comprehensive-guide.html
Understanding the AI Ecosystem Components Table,understanding-the-ai-ecosystem-components-table,True,,,1770065497360,1770065359057,1770065499702,https://storage.googleapis.com/papyrus_images/db58d1a5e7268ff6d8c2fda34db6f438da17b5532105a33f4222dc6b80362903.jpg,"[""ai"",""llm"",""rag"",""gpu"",""agent"",""api""]",understanding-the-ai-ecosystem-components-table.html
"
Understanding AI: What It Is, How It Works, and Why It Matters",understanding-ai-what-it-is-how-it-works-and-why-it-matters,True,AN INTENTIONALLY SOON-TO-BE-OUTDATED  SNAPSHOT OF ARTIFICAL INTELLIGENCE,,1770065036088,1770056343565,1770067886603,https://storage.googleapis.com/papyrus_images/c783d64a88b2d454e5030052674ef856fc2a18b06701eebd0ab20d390e576862.jpg,"[""ai"",""llm"",""howto"",""agents"",""gpu""]",understanding-ai-what-it-is-how-it-works-and-why-it-matters.html
"The Blockchain You Didn’t Ask For, But Are Definitely Getting",the-blockchain-you-didn-t-ask-for-but-are-definitely-getting,True,,,1745529819000,1745529819000,1745529819000,https://storage.googleapis.com/papyrus_images/7f8dac3a13b777935d50bb85e8c48db4d5ec68e2b9c5ca0cd633f05936872f18.png,[],the-blockchain-you-didn-t-ask-for-but-are-definitely-getting.html
"You May Not Care About Crypto...But If You Use Venmo, You Should Care About Stablecoins
",you-may-not-care-about-crypto-but-if-you-use-venmo-you-should-care-about-stablecoins,True,,,1745529545000,1745529545000,1745529545000,https://storage.googleapis.com/papyrus_images/58dc7d3234e10f5a47741d0c314d9c768631714a7097d84d63c3fa0f7cf502be.png,[],you-may-not-care-about-crypto-but-if-you-use-venmo-you-should-care-about-stablecoins.html
DePIN 101: A Crash Course on Decentralized Physical Infrastructure Networks Shaking Up Web3,depin-101-a-crash-course-on-decentralized-physical-infrastructure-networks-shaking-up-web3,True,,,1739815243000,1739815243000,1739815243000,https://storage.googleapis.com/papyrus_images/129d7ec0f0133479d2f3a609ed16d0141228ad51fb1ee1fd12d4716eff0dfcab.png,[],depin-101-a-crash-course-on-decentralized-physical-infrastructure-networks-shaking-up-web3.html
DePIN 102: How It’s Reshaping Industries and What’s Next,depin-102-how-it-s-reshaping-industries-and-what-s-next,True,,,1739815139000,1739815139000,1739815139000,https://storage.googleapis.com/papyrus_images/129d7ec0f0133479d2f3a609ed16d0141228ad51fb1ee1fd12d4716eff0dfcab.png,[],depin-102-how-it-s-reshaping-industries-and-what-s-next.html
"What is Web3, and Why Should You Care About It?",what-is-web3-and-why-should-you-care-about-it,True,,,1724084061000,1724084061000,1724084061000,https://storage.googleapis.com/papyrus_images/eaceac37fb9bcc7d081305a830cdbdcd7fe3baff3c36e9911ef3c0312e075f46.jpg,[],what-is-web3-and-why-should-you-care-about-it.html
